Marker,CD4Tcell,CD8Tcell,Bcell,Endothelium,Progenitor
     CD38,,,,,
     CD19,,,1,,
     CD14,,,,,
     CD33,,,,,
     CD16,,,,,
    CD163,,,,,
    CD11b,,,,,
    PD-L1,,,,,
     CD31,,,,1,-1
     CD45,,,,,
     LAG3,,,,,
    CD11c,,,,,
    FOXP3,,,,,
      CD4,1,,,,
    CD169,,,,,
     CD68,,,,,
    Vista,,,,,
     CD95,,,,,
      CD8,,1,,,
     CCR4,,,,,
     CD34,,,,1,1
     PD-1,,,,,
   CD45RA,,,,,
GranzymeB,,,,,
    CD127,,,,,
 Collagen,,,,,
      CD3,1,1,-1,,
     CD27,,,,,
Caspase-3,,,,,
   CD45RO,,,,,
   HLA-DR,,,,,
     CD25,,,,,
     BCKG,,,,,
     DNA1,,,,,
     DNA2,,,,,
