channel,name,keep,ilastik,deepcell
ArAr80,,0,,
Y89,,0,,
Ru99,,0,,
Pd102,,0,,
Pd106,,0,,
Cd114,,0,,
In115,,0,,
I127,,0,,
Xe131,,0,,
Cs133,,0,,
Xe134,,0,,
Ba138,,0,,
La139,,0,,
Ce140,,0,,
Pr141,CD38,1,2,2
Nd142,CD19,1,,
Nd143,,0,,
Nd144,CD14,1,4,
Nd145,CD33,1,5,
Nd146,CD16,1,6,2
Sm147,CD163,1,7,2
Nd148,,0,,
Sm149,CD11b,1,9,2
Nd150,PD-L1,1,,
Eu151,CD31,1,11,2
Sm152,CD45,1,12,2
Eu153,LAG3,1,,
Sm154,CD11c,1,,
Gd155,FOXP3,1,,
Gd156,CD4,1,,
Gd157,,0,,
Gd158,CD169,1,,
Tb159,CD68,1,,
Gd160,Vista,1,20,2
Dy161,CD95,1,,
Dy162,CD8,1,22,2
Dy163,CCR4,1,,
Dy164,CD34,1,,
Ho165,PD-1,1,,
Er166,CD45RA,1,,
Er167,GranzymeB,1,27,2
Er168,CD127,1,,
Tm169,Collagen,1,,
Er170,CD3,1,,
Yb171,CD27,1,,
Yb172,Caspase-3,1,,
Yb173,CD45RO,1,,
Yb174,HLA-DR,1,,
Lu175,CD25,1,,
Yb176,,0,,
Hf177,,0,,
BCKG190,BCKG,1,,
Ir191,DNA1,1,1,1
Os192,,0,,
Ir193,DNA2,1,1,1
Pt194,,0,,
Pt195,,0,,
Pt196,,0,,
Pt198,,0,,
Pb207,,0,,
Pb208,,0,,
Bi209,,0,,
